word	format	onset	duration
"""He's"		10.0	0.5
heading		10.5	0.5
for		11.0	0.5
the		11.5	0.5
third		12.0	0.5
"floor,"""		12.5	0.5
Harry		13.0	0.5
said,		13.5	0.5
but		14.0	0.5
Ron		14.5	0.5
held		15.0	0.5
up		15.5	0.5
his		16.0	0.5
hand.		16.5	0.5
+		17.0	0.5
"""Can"		17.5	0.5
you		18.0	0.5
smell		18.5	0.5
"something?"""		19.0	0.5
+		19.5	0.5
Harry		20.0	0.5
sniffed		20.5	0.5
and		21.0	0.5
a		21.5	0.5
foul		22.0	0.5
stench		22.5	0.5
reached		23.0	0.5
his		23.5	0.5
nostrils,		24.0	0.5
a		24.5	0.5
mixture		25.0	0.5
of		25.5	0.5
old		26.0	0.5
socks		26.5	0.5
and		27.0	0.5
the		27.5	0.5
kind		28.0	0.5
of		28.5	0.5
public		29.0	0.5
toilet		29.5	0.5
no		30.0	0.5
one		30.5	0.5
seems		31.0	0.5
to		31.5	0.5
clean.		32.0	0.5
+		32.5	0.5
And		33.0	0.5
then		33.5	0.5
they		34.0	0.5
heard		34.5	0.5
it		35.0	0.5
--		35.5	0.5
a		36.0	0.5
low		36.5	0.5
grunting,		37.0	0.5
and		37.5	0.5
the		38.0	0.5
shuffling		38.5	0.5
footfalls		39.0	0.5
of		39.5	0.5
gigantic		40.0	0.5
feet.		40.5	0.5
Ron		41.0	0.5
pointed		41.5	0.5
--		42.0	0.5
at		42.5	0.5
the		43.0	0.5
end		43.5	0.5
of		44.0	0.5
a		44.5	0.5
passage		45.0	0.5
to		45.5	0.5
the		46.0	0.5
left,		46.5	0.5
something		47.0	0.5
huge		47.5	0.5
was		48.0	0.5
moving		48.5	0.5
toward		49.0	0.5
them.		49.5	0.5
They		50.0	0.5
shrank		50.5	0.5
into		51.0	0.5
the		51.5	0.5
shadows		52.0	0.5
and		52.5	0.5
watched		53.0	0.5
as		53.5	0.5
it		54.0	0.5
emerged		54.5	0.5
into		55.0	0.5
a		55.5	0.5
patch		56.0	0.5
of		56.5	0.5
moonlight.		57.0	0.5
+		57.5	0.5
It		58.0	0.5
was		58.5	0.5
a		59.0	0.5
horrible		59.5	0.5
sight.		60.0	0.5
Twelve		60.5	0.5
feet		61.0	0.5
tall,		61.5	0.5
its		62.0	0.5
skin		62.5	0.5
was		63.0	0.5
a		63.5	0.5
dull,		64.0	0.5
granite		64.5	0.5
gray,		65.0	0.5
its		65.5	0.5
great		66.0	0.5
lumpy		66.5	0.5
body		67.0	0.5
like		67.5	0.5
a		68.0	0.5
boulder		68.5	0.5
with		69.0	0.5
its		69.5	0.5
small		70.0	0.5
bald		70.5	0.5
head		71.0	0.5
perched		71.5	0.5
on		72.0	0.5
top		72.5	0.5
like		73.0	0.5
