word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
MR		14.1	0.45
WENDELL		14.55	0.45
AND		15.0	0.45
HIS		15.45	0.45
BRIDE		15.9	0.45
WILL		16.35	0.45
LIVE		16.8	0.45
IN		17.25	0.45
HIS		17.7	0.45
LAKE		18.15	0.45
FOREST		18.6	0.45
HOUSE		19.05	0.45
:		19.5	0.5
+		20.0	0.1
PRIOR		20.1	0.45
TO		20.55	0.45
THAT		21.0	0.45
HE		21.45	0.45
WAS		21.9	0.45
ASSOCIATED		22.35	0.45
WITH		22.8	0.45
LONG		23.25	0.45
ISLAND		23.7	0.45
UNIVERSITY		24.15	0.45
IN		24.6	0.45
BROOKLYN		25.05	0.45
:		25.5	0.5
+		26.0	0.1
THE		26.1	0.45
ORCHESTRA		26.55	0.45
WAS		27.0	0.45
OBVIOUSLY		27.45	0.45
ON		27.9	0.45
ITS		28.35	0.45
METTLE		28.8	0.45
AND		29.25	0.45
IT		29.7	0.45
PLAYED		30.15	0.45
MOST		30.6	0.45
RESPONSIVELY		31.05	0.45
:		31.5	0.5
+		32.0	0.1
JUMS		32.1	0.45
REE		32.55	0.45
CONEST		33.0	0.45
SUFFISTION		33.45	0.45
OY		33.9	0.45
O		34.35	0.45
HOUL		34.8	0.45
OS		35.25	0.45
FOUSE		35.7	0.45
OD		36.15	0.45
FEETOGE		36.6	0.45
PUNES		37.05	0.45
:		37.5	0.5
+		38.0	0.1
RO		38.1	0.45
REE		38.55	0.45
DICONTORS		39.0	0.45
REE		39.45	0.45
TROPLEN		39.9	0.45
OSTEORED		40.35	0.45
O		40.8	0.45
MOLLER		41.25	0.45
OY		41.7	0.45
INTROWLS		42.15	0.45
OM		42.6	0.45
DITLENONY		43.05	0.45
:		43.5	0.5
+		44.0	0.1
TRORE		44.1	0.45
WAM		44.55	0.45
TOTTLE		45.0	0.45
HOGELIHOOD		45.45	0.45
OY		45.9	0.45
EDY		46.35	0.45
CETTOWERS		46.8	0.45
GOULING		47.25	0.45
EN		47.7	0.45
ET		48.15	0.45
FROT		48.6	0.45
MOUR		49.05	0.45
:		49.5	0.5
+		50.0	0.1
HU		50.1	0.45
SLUPPED		50.55	0.45
MABING		51.0	0.45
RO		51.45	0.45
STOME		51.9	0.45
ET		52.35	0.45
HAK		52.8	0.45
PITH		53.25	0.45
HUS		53.7	0.45
POMP		54.15	0.45
DRUE		54.6	0.45
EAFS		55.05	0.45
:		55.5	0.5
+		56.0	0.1
O		56.1	0.45
NURGER		56.55	0.45
OY		57.0	0.45
DIMBEDEROTIONS		57.45	0.45
SUFFIST		57.9	0.45
FROT		58.35	0.45
PLIN		58.8	0.45
UXCURS		59.25	0.45
OODLY		59.7	0.45
EN		60.15	0.45
REE		60.6	0.45
STORESS		61.05	0.45
:		61.5	0.5
+		62.0	0.1
RO		62.1	0.45
COMPYNE		62.55	0.45
VOUR		63.0	0.45
OPWOSTED		63.45	0.45
GRODE		63.9	0.45
INGIME		64.35	0.45
HOO		64.8	0.45
TOTIT		65.25	0.45
ORS		65.7	0.45
ILEND		66.15	0.45
OY		66.6	0.45
INGIME		67.05	0.45
:		67.5	0.5
+		68.0	0.1
THE		68.1	0.45
SOCIAL		68.55	0.45
AND		69.0	0.45
PSYCHOLOGICAL		69.45	0.45
CONSEQUENCES		69.9	0.45
OF		70.35	0.45
THIS		70.8	0.45
CONTINUE		71.25	0.45
TO		71.7	0.45
AFFECT		72.15	0.45
THE		72.6	0.45
AREA		73.05	0.45
:		73.5	0.5
+		74.0	0.1
BUT		74.1	0.45
A		74.55	0.45
SOMEWHAT		75.0	0.45
MORE		75.45	0.45
DETAILED		75.9	0.45
ANALYSIS		76.35	0.45
OF		76.8	0.45
THIS		77.25	0.45
PROCESS		77.7	0.45
MAY		78.15	0.45
BE		78.6	0.45
ILLUMINATING		79.05	0.45
:		79.5	0.5
+		80.0	0.1
BUT		80.1	0.45
I		80.55	0.45
ONLY		81.0	0.45
THOUGHT		81.45	0.45
OF		81.9	0.45
THAT		82.35	0.45
IN		82.8	0.45
THE		83.25	0.45
MIDDLE		83.7	0.45
OF		84.15	0.45
THE		84.6	0.45
NIGHT		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
HUS		100.1	0.45
