,stim1,loc1,objmod1,stim2,loc2,action2,objmod2,stim3,loc3,action3,objmod3,stim4,loc4,action4,objmod4,stim5,loc5,action5,objmod5,stim6,loc6,action6,objmod6
0,1,0,1,5,1,True,1,0,0,True,0,4,1,True,0,7,1,False,3,3,0,True,7
1,0,0,4,7,1,False,7,1,0,False,1,1,0,True,1,2,0,False,2,6,1,True,6
2,0,0,4,5,1,True,5,5,1,True,5,6,1,False,2,6,1,True,2,5,1,False,1
3,7,1,7,3,0,True,7,2,0,True,2,2,0,True,6,7,1,True,7,3,0,True,7
4,0,0,4,2,0,False,6,6,1,True,2,2,0,True,6,0,0,False,0,3,0,False,3
5,6,1,2,7,1,True,3,7,1,True,3,2,0,True,2,3,0,True,7,4,1,False,4
6,7,1,7,1,0,False,5,5,1,True,5,0,0,True,0,0,0,True,4,7,1,False,7
7,0,0,4,0,0,True,4,2,0,False,2,4,1,False,4,6,1,False,2,5,1,False,5
8,7,1,7,3,0,True,7,2,0,True,2,6,1,True,6,2,0,True,6,4,1,False,0
9,2,0,2,2,0,True,2,0,0,False,4,6,1,False,2,4,1,False,0,7,1,False,7
10,0,0,0,2,0,False,6,1,0,False,5,0,0,True,0,7,1,False,7,6,1,True,2
11,6,1,2,1,0,False,5,0,0,True,4,4,1,True,4,1,0,True,5,2,0,False,6
12,3,0,7,4,1,False,4,5,1,True,1,1,0,True,1,3,0,False,3,7,1,True,3
13,5,1,5,4,1,True,0,5,1,True,1,1,0,True,1,3,0,False,7,4,1,False,0
14,2,0,6,5,1,False,1,1,0,True,1,3,0,False,7,4,1,False,0,3,0,False,7
15,3,0,7,1,0,False,1,3,0,False,3,4,1,False,4,5,1,True,5,2,0,False,2
