Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
69,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,True
97,9,1,1,0,0,1,4,1,3,0,0,0,1,1,1,3,1,0,0,0,0,1,0,1,True
301,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,13,1,1,1,2,1,6,5,False
68,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,13,1,1,1,2,1,6,5,False
255,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,True
37,8,1,1,0,0,0,4,0,11,1,1,0,1,1,5,3,14,1,1,1,3,0,7,6,False
126,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,8,1,1,0,0,0,4,0,False
16,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
228,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,False
67,1,0,0,0,0,1,0,1,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,True
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,True
247,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,True
125,15,1,1,1,3,1,7,7,10,1,1,0,1,0,5,2,8,1,1,0,0,0,4,0,True
164,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,False
86,5,0,0,1,2,1,2,5,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
304,12,1,1,1,2,0,6,4,0,0,0,0,0,0,0,0,15,1,1,1,3,1,7,7,False
144,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,4,0,0,1,2,0,2,4,False
271,3,0,0,0,1,1,1,3,14,1,1,1,3,0,7,6,14,1,1,1,3,0,7,6,True
140,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,True
233,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,4,0,0,1,2,0,2,4,False
