Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
59,11,1,1,1,0,5,3,3,1,0,1,0,1,3,1,0,0,1,0,0,1,15,3,1,1,1,7,7,True,False
63,11,1,1,1,0,5,3,7,3,0,1,1,3,7,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,False
69,5,2,0,1,1,2,5,14,3,1,0,1,7,6,4,2,0,0,1,2,4,15,3,1,1,1,7,7,True,True
37,13,2,1,1,1,6,5,15,3,1,1,1,7,7,2,1,0,0,0,1,2,7,3,0,1,1,3,7,False,True
29,15,3,1,1,1,7,7,12,2,1,0,1,6,4,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,False
1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,14,3,1,0,1,7,6,10,1,1,0,0,5,2,True,True
52,7,3,0,1,1,3,7,9,0,1,1,0,4,1,13,2,1,1,1,6,5,10,1,1,0,0,5,2,False,False
21,12,2,1,0,1,6,4,3,1,0,1,0,1,3,5,2,0,1,1,2,5,7,3,0,1,1,3,7,False,True
2,3,1,0,1,0,1,3,6,3,0,0,1,3,6,9,0,1,1,0,4,1,11,1,1,1,0,5,3,False,True
23,5,2,0,1,1,2,5,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,False
74,2,1,0,0,0,1,2,11,1,1,1,0,5,3,3,1,0,1,0,1,3,1,0,0,1,0,0,1,True,True
20,6,3,0,0,1,3,6,12,2,1,0,1,6,4,7,3,0,1,1,3,7,3,1,0,1,0,1,3,True,False
60,13,2,1,1,1,6,5,7,3,0,1,1,3,7,1,0,0,1,0,0,1,4,2,0,0,1,2,4,False,True
71,12,2,1,0,1,6,4,14,3,1,0,1,7,6,1,0,0,1,0,0,1,3,1,0,1,0,1,3,False,False
14,9,0,1,1,0,4,1,3,1,0,1,0,1,3,11,1,1,1,0,5,3,7,3,0,1,1,3,7,True,False
51,15,3,1,1,1,7,7,11,1,1,1,0,5,3,5,2,0,1,1,2,5,4,2,0,0,1,2,4,False,True
