Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,False
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,9,0,1,1,0,4,1,False,True
22,13,2,1,1,1,6,5,3,1,0,1,0,1,3,5,2,0,1,1,2,5,9,0,1,1,0,4,1,False,False
31,3,1,0,1,0,1,3,0,0,0,0,0,0,0,11,1,1,1,0,5,3,5,2,0,1,1,2,5,True,False
18,11,1,1,1,0,5,3,4,2,0,0,1,2,4,10,1,1,0,0,5,2,3,1,0,1,0,1,3,False,True
28,4,2,0,0,1,2,4,3,1,0,1,0,1,3,0,0,0,0,0,0,0,4,2,0,0,1,2,4,True,True
10,2,1,0,0,0,1,2,3,1,0,1,0,1,3,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,True
70,4,2,0,0,1,2,4,15,3,1,1,1,7,7,2,1,0,0,0,1,2,0,0,0,0,0,0,0,False,False
4,14,3,1,0,1,7,6,12,2,1,0,1,6,4,7,3,0,1,1,3,7,2,1,0,0,0,1,2,True,False
12,5,2,0,1,1,2,5,6,3,0,0,1,3,6,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,True
49,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,1,1,2,5,11,1,1,1,0,5,3,False,True
33,8,0,1,0,0,4,0,0,0,0,0,0,0,0,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,True
67,14,3,1,0,1,7,6,3,1,0,1,0,1,3,13,2,1,1,1,6,5,4,2,0,0,1,2,4,False,True
35,15,3,1,1,1,7,7,6,3,0,0,1,3,6,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,True
68,15,3,1,1,1,7,7,9,0,1,1,0,4,1,13,2,1,1,1,6,5,2,1,0,0,0,1,2,False,False
45,6,3,0,0,1,3,6,13,2,1,1,1,6,5,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,False
