Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
167,14,3,1,0,1,7,6,2,1,0,0,0,1,2,13,2,1,1,1,6,5,3,1,0,1,0,1,3,False,False
230,8,0,1,0,0,4,0,7,3,0,1,1,3,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,True,False
25,12,2,1,0,1,6,4,4,2,0,0,1,2,4,4,2,0,0,1,2,4,12,2,1,0,1,6,4,True,True
63,9,0,1,1,0,4,1,13,2,1,1,1,6,5,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,True
9,15,3,1,1,1,7,7,15,3,1,1,1,7,7,5,2,0,1,1,2,5,10,1,1,0,0,5,2,False,True
110,4,2,0,0,1,2,4,8,0,1,0,0,4,0,10,1,1,0,0,5,2,10,1,1,0,0,5,2,True,False
186,1,0,0,1,0,0,1,5,2,0,1,1,2,5,10,1,1,0,0,5,2,15,3,1,1,1,7,7,False,False
143,13,2,1,1,1,6,5,6,3,0,0,1,3,6,6,3,0,0,1,3,6,5,2,0,1,1,2,5,True,False
244,13,2,1,1,1,6,5,11,1,1,1,0,5,3,5,2,0,1,1,2,5,10,1,1,0,0,5,2,False,True
224,3,1,0,1,0,1,3,6,3,0,0,1,3,6,14,3,1,0,1,7,6,14,3,1,0,1,7,6,False,False
90,11,1,1,1,0,5,3,12,2,1,0,1,6,4,13,2,1,1,1,6,5,3,1,0,1,0,1,3,True,False
76,10,1,1,0,0,5,2,5,2,0,1,1,2,5,13,2,1,1,1,6,5,0,0,0,0,0,0,0,False,False
82,12,2,1,0,1,6,4,7,3,0,1,1,3,7,15,3,1,1,1,7,7,3,1,0,1,0,1,3,False,False
240,15,3,1,1,1,7,7,9,0,1,1,0,4,1,2,1,0,0,0,1,2,12,2,1,0,1,6,4,False,True
172,13,2,1,1,1,6,5,7,3,0,1,1,3,7,3,1,0,1,0,1,3,0,0,0,0,0,0,0,True,False
119,4,2,0,0,1,2,4,12,2,1,0,1,6,4,1,0,0,1,0,0,1,4,2,0,0,1,2,4,False,True
