Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
93,7,3,0,1,1,3,7,1,0,0,1,0,0,1,7,3,0,1,1,3,7,12,2,1,0,1,6,4,True,False
137,15,3,1,1,1,7,7,5,2,0,1,1,2,5,15,3,1,1,1,7,7,11,1,1,1,0,5,3,False,True
59,11,1,1,1,0,5,3,0,0,0,0,0,0,0,14,3,1,0,1,7,6,5,2,0,1,1,2,5,False,False
116,12,2,1,0,1,6,4,10,1,1,0,0,5,2,12,2,1,0,1,6,4,10,1,1,0,0,5,2,True,True
6,5,2,0,1,1,2,5,12,2,1,0,1,6,4,4,2,0,0,1,2,4,1,0,0,1,0,0,1,False,True
196,1,0,0,1,0,0,1,7,3,0,1,1,3,7,2,1,0,0,0,1,2,11,1,1,1,0,5,3,True,False
30,14,3,1,0,1,7,6,14,3,1,0,1,7,6,3,1,0,1,0,1,3,7,3,0,1,1,3,7,False,False
22,0,0,0,0,0,0,0,15,3,1,1,1,7,7,15,3,1,1,1,7,7,9,0,1,1,0,4,1,True,False
272,1,0,0,1,0,0,1,4,2,0,0,1,2,4,4,2,0,0,1,2,4,6,3,0,0,1,3,6,True,True
288,2,1,0,0,0,1,2,11,1,1,1,0,5,3,4,2,0,0,1,2,4,14,3,1,0,1,7,6,False,False
56,15,3,1,1,1,7,7,8,0,1,0,0,4,0,9,0,1,1,0,4,1,15,3,1,1,1,7,7,True,True
165,2,1,0,0,0,1,2,8,0,1,0,0,4,0,10,1,1,0,0,5,2,7,3,0,1,1,3,7,True,True
118,5,2,0,1,1,2,5,15,3,1,1,1,7,7,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,False
204,10,1,1,0,0,5,2,9,0,1,1,0,4,1,5,2,0,1,1,2,5,1,0,0,1,0,0,1,False,False
81,5,2,0,1,1,2,5,14,3,1,0,1,7,6,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,True
145,4,2,0,0,1,2,4,13,2,1,1,1,6,5,5,2,0,1,1,2,5,3,1,0,1,0,1,3,False,True
