Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
278,1,0,0,1,0,0,1,6,3,0,0,1,3,6,2,1,0,0,0,1,2,8,0,1,0,0,4,0,True,False
236,12,2,1,0,1,6,4,3,1,0,1,0,1,3,9,0,1,1,0,4,1,1,0,0,1,0,0,1,False,False
207,12,2,1,0,1,6,4,9,0,1,1,0,4,1,2,1,0,0,0,1,2,5,2,0,1,1,2,5,False,False
212,1,0,0,1,0,0,1,2,1,0,0,0,1,2,5,2,0,1,1,2,5,13,2,1,1,1,6,5,True,False
292,11,1,1,1,0,5,3,2,1,0,0,0,1,2,14,3,1,0,1,7,6,13,2,1,1,1,6,5,False,True
251,11,1,1,1,0,5,3,4,2,0,0,1,2,4,6,3,0,0,1,3,6,5,2,0,1,1,2,5,True,False
311,4,2,0,0,1,2,4,5,2,0,1,1,2,5,0,0,0,0,0,0,0,4,2,0,0,1,2,4,True,True
201,14,3,1,0,1,7,6,1,0,0,1,0,0,1,7,3,0,1,1,3,7,11,1,1,1,0,5,3,True,True
161,7,3,0,1,1,3,7,3,1,0,1,0,1,3,15,3,1,1,1,7,7,7,3,0,1,1,3,7,False,True
43,11,1,1,1,0,5,3,9,0,1,1,0,4,1,1,0,0,1,0,0,1,6,3,0,0,1,3,6,False,False
217,13,2,1,1,1,6,5,4,2,0,0,1,2,4,15,3,1,1,1,7,7,13,2,1,1,1,6,5,False,True
190,13,2,1,1,1,6,5,10,1,1,0,0,5,2,10,1,1,0,0,5,2,6,3,0,0,1,3,6,True,False
259,11,1,1,1,0,5,3,4,2,0,0,1,2,4,3,1,0,1,0,1,3,8,0,1,0,0,4,0,True,True
105,8,0,1,0,0,4,0,4,2,0,0,1,2,4,11,1,1,1,0,5,3,11,1,1,1,0,5,3,False,True
53,3,1,0,1,0,1,3,14,3,1,0,1,7,6,12,2,1,0,1,6,4,5,2,0,1,1,2,5,True,True
1,15,3,1,1,1,7,7,10,1,1,0,0,5,2,5,2,0,1,1,2,5,4,2,0,0,1,2,4,False,False
