Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
7,5,2,0,1,1,2,5,5,2,0,1,1,2,5,11,1,1,1,0,5,3,11,1,1,1,0,5,3,False,False
50,11,1,1,1,0,5,3,14,3,1,0,1,7,6,10,1,1,0,0,5,2,3,1,0,1,0,1,3,False,True
53,5,2,0,1,1,2,5,8,0,1,0,0,4,0,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,False
19,6,3,0,0,1,3,6,13,2,1,1,1,6,5,8,0,1,0,0,4,0,4,2,0,0,1,2,4,False,False
66,2,1,0,0,0,1,2,9,0,1,1,0,4,1,12,2,1,0,1,6,4,10,1,1,0,0,5,2,False,True
25,15,3,1,1,1,7,7,12,2,1,0,1,6,4,6,3,0,0,1,3,6,7,3,0,1,1,3,7,False,True
44,5,2,0,1,1,2,5,15,3,1,1,1,7,7,13,2,1,1,1,6,5,13,2,1,1,1,6,5,False,True
13,6,3,0,0,1,3,6,14,3,1,0,1,7,6,7,3,0,1,1,3,7,0,0,0,0,0,0,0,True,False
76,12,2,1,0,1,6,4,15,3,1,1,1,7,7,2,1,0,0,0,1,2,13,2,1,1,1,6,5,False,True
3,15,3,1,1,1,7,7,10,1,1,0,0,5,2,14,3,1,0,1,7,6,4,2,0,0,1,2,4,False,False
17,8,0,1,0,0,4,0,15,3,1,1,1,7,7,7,3,0,1,1,3,7,10,1,1,0,0,5,2,True,False
38,5,2,0,1,1,2,5,0,0,0,0,0,0,0,12,2,1,0,1,6,4,8,0,1,0,0,4,0,False,False
8,9,0,1,1,0,4,1,15,3,1,1,1,7,7,4,2,0,0,1,2,4,5,2,0,1,1,2,5,False,False
65,8,0,1,0,0,4,0,15,3,1,1,1,7,7,12,2,1,0,1,6,4,10,1,1,0,0,5,2,False,False
6,4,2,0,0,1,2,4,6,3,0,0,1,3,6,3,1,0,1,0,1,3,0,0,0,0,0,0,0,False,False
36,14,3,1,0,1,7,6,1,0,0,1,0,0,1,8,0,1,0,0,4,0,3,1,0,1,0,1,3,True,False
