	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
0	41.0	0.5937834707722565	0.12312236971076673	7.719185120039334	shown	2.98	0.0	1	fmri	images_fmri/toilet_paper/toilet_paper_01b.jpg	649	1	1672.0	23594.0	1.0	toilet_paper
1	9.0	0.7317189077182042	0.1516971734442909	9.512345800336655	shown	2.98	4.47	1	fmri	images_fmri/broccoli/broccoli_01b.jpg	85	1	202.0	3048.0	1.0	broccoli
2	29.0	0.5444001830325973	0.1368164540536635	7.077202379423764	shown	2.98	8.94	1	fmri	images_fmri/tractor/tractor_01b.jpg	660	1	1696.0	23923.0	1.0	tractor
3	37.0	0.5981565064590504	0.06690933730410664	7.776034583967655	shown	2.98	13.41	1	fmri	images_fmri/popcorn/popcorn_01b.jpg	486	1	1224.0	17411.0	1.0	popcorn
4	1.0	0.23967536843499568	0.10357455033843388	3.115779789654944	shown	2.98	17.88	1	fmri	images_fmri/record/record_01b.jpg	517	1	1296.0	18431.0	1.0	record
5	28.0	0.5414274642148657	0.18804631783061934	7.038557034793254	shown	2.98	22.349999999999998	1	fmri	images_fmri/grenade/grenade_01b.jpg	289	1	714.0	10238.0	1.0	grenade
6	11.0	0.585678905390763	0.11169473111530129	7.613825770079918	shown	2.98	26.82	1	fmri	images_fmri/bowl/bowl_01b.jpg	75	1	178.0	2702.0	1.0	bowl
7	6.0	0.6051285087209867	0.11196196501300888	7.866670613372827	shown	2.98	31.29	1	fmri	images_fmri/tree_trunk/tree_trunk_01b.jpg	667	1	1710.0	24114.0	1.0	tree_trunk
8	3.0	0.5878390442771181	0.16265642795532825	41.73657214367538	shown	2.98	35.76	1	fmri	images_fmri/blowtorch/blowtorch_01b.jpg	64	1	149.0	2274.0	1.0	blowtorch
9	20.0	0.5035067624348533	0.2468756222752687	6.545587911653092	shown	2.98	40.23	1	fmri	images_fmri/defibrillator/defibrillator_01b.jpg	198	1	478.0	6911.0	1.0	defibrillator
10	5.0	0.5936533244865653	0.18362890751154348	7.717493218325348	shown	2.98	44.699999999999996	1	fmri	images_fmri/cranberry/cranberry_01b.jpg	177	1	431.0	6218.0	1.0	cranberry
11	40.0	0.6502686111305079	0.114416709928043	8.453491944696603	shown	2.98	49.169999999999995	1	fmri	images_fmri/anteater/anteater_01b.jpg	12	1	26.0	356.0	1.0	anteater
12	42.0	0.5723919285910856	0.08480493842770379	7.441095071684112	shown	2.98	53.64	1	fmri	images_fmri/peeler/peeler_01b.jpg	455	1	1139.0	16205.0	1.0	peeler
13	45.0	0.4841065338057415	0.07697884646439607	6.293384939474639	shown	2.98	58.11	1	fmri	images_fmri/grate/grate_01b.jpg	286	1	708.0	10154.0	1.0	grate
14	32.0	0.594250095476708	0.16203452186169537	7.7252512411972045	shown	2.98	62.58	1	fmri	images_fmri/cymbal/cymbal_01b.jpg	195	1	469.0	6791.0	1.0	cymbal
15	0.0	0.5286335019947683	0.12176353882981027	6.34360202393722	shown	2.98	67.05	1	fmri	images_fmri/fence/fence_01b.jpg	239	1	576.0	8322.0	1.0	fence
16	15.0	0.414430562887523	0.15376668328007587	5.387597317537799	shown	2.98	71.52	1	fmri	images_fmri/bubble/bubble_01b.jpg	89	1	208.0	3129.0	1.0	bubble
17	16.0	0.4320584624852409	0.15857453487451242	5.616760012308132	shown	2.98	75.99	1	fmri	images_fmri/net/net_01b.jpg	423	1	1058.0	15054.0	1.0	net
18	18.0	0.4302967255569661	0.12662859871476873	5.593857432240559	shown	2.98	80.46	1	fmri	images_fmri/playing_card/playing_card_01b.jpg	477	1	1200.0	17051.0	1.0	playing_card
19	33.0	0.6295710009429284	0.16827947471413984	8.184423012258069	shown	2.98	84.92999999999999	1	fmri	images_fmri/chipmunk/chipmunk_01b.jpg	145	1	335.0	4836.0	1.0	chipmunk
20	7.0	0.6860828072385712	0.09588129385811706	48.71187931393855	shown	2.98	89.39999999999999	1	fmri	images_fmri/noodle/noodle_01s.jpg	424	1	1062.0	15106.0	1.0	noodle
21	35.0	0.5485425746492169	0.11684869370809293	7.131053470439819	shown	2.98	93.86999999999999	1	fmri	images_fmri/washboard/washboard_01b.jpg	696	1	1783.0	25131.0	1.0	washboard
22	21.0	0.6845130875288079	0.18779885261860482	8.898670137874502	shown	2.98	98.33999999999999	1	fmri	images_fmri/omelet/omelet_01b.jpg	431	1	1077.0	15308.0	1.0	omelet
23	0.0	0.5049493118202912	0.19720257732690513	35.34645182742039	shown	2.98	102.80999999999999	1	fmri	images_fmri/violin/violin_01b.jpg	686	1	1765.0	24872.0	1.0	violin
24	24.0	0.6922046705020583	0.15469712717118111	8.998660716526757	shown	2.98	107.28	1	fmri	images_fmri/apple/apple_01b.jpg	16	1	31.0	434.0	1.0	apple
25	50.0	0.5705752365025376	0.15682300276633035	7.417478074532989	shown	2.98	111.75	1	fmri	images_fmri/cup/cup_01s.jpg	192	1	461.0	6673.0	1.0	cup
26	36.0	0.7083018194653694	0.13675498608307815	9.207923653049802	shown	2.98	116.22	1	fmri	images_fmri/croissant/croissant_01b.jpg	184	1	443.0	6406.0	1.0	croissant
27	4.0	0.4588173903409952	0.19820974491123564	5.964626074432938	shown	2.98	120.69	1	fmri	images_fmri/missile/missile_01b.jpg	402	1	1007.0	14344.0	1.0	missile
28	51.0	0.5506363596645649	0.1385506593425481	7.158272675639345	shown	2.98	125.16	1	fmri	images_fmri/toothpick/toothpick_01b.jpg	654	1	1682.0	23732.0	1.0	toothpick
29	12.0	0.5414379520913756	0.14392568574180034	7.038693377187883	shown	2.98	129.63	1	fmri	images_fmri/sprinkler/sprinkler_01b.jpg	593	1	1524.0	21541.0	1.0	sprinkler
30	47.0	0.5934994859078305	0.14351292956849582	7.715493316801797	shown	2.98	134.1	1	fmri	images_fmri/pocket/pocket_01b.jpg	480	1	1206.0	17131.0	1.0	pocket
31	7.0	0.6514389986624921	0.11133113728698582	8.468706982612398	shown	2.98	138.57	1	fmri	images_fmri/cotton_candy/cotton_candy_01b.jpg	173	1	422.0	6064.0	1.0	cotton_candy
32	13.0	0.5013095121295663	0.1872881950326972	6.517023657684362	shown	2.98	143.04	1	fmri	images_fmri/computer/computer_01b.jpg	164	1	395.0	5678.0	1.0	computer
33	49.0	0.697566773516449	0.088851433218446	9.068368055713837	shown	2.98	147.51	1	fmri	images_fmri/goat/goat_01b.jpg	276	1	685.0	9802.0	1.0	goat
34	43.0	0.5636218541185782	0.12970194394216555	7.327084103541517	shown	2.98	151.98	1	fmri	images_fmri/wrench/wrench_01b.jpg	717	1	1842.0	25928.0	1.0	wrench
35	34.0	0.5703469678760991	0.0930595345566342	7.414510582389288	shown	2.98	156.45	1	fmri	images_fmri/carrot/carrot_01b.jpg	121	1	278.0	4075.0	1.0	carrot
36	53.0	0.5298175191144877	0.16510064545782155	6.88762774848834	shown	2.98	160.92	1	fmri	images_fmri/crayon/crayon_01b.jpg	181	1	436.0	6298.0	1.0	crayon
37	3.0	0.3707352143003568	0.1279957337909216	4.819557785904638	shown	2.98	165.39	1	fmri	images_fmri/contact_lens/contact_lens_01s.jpg	167	1	398.0	5718.0	1.0	contact_lens
38	38.0	0.5729226740422954	0.15791457831539366	7.44799476254984	shown	2.98	169.85999999999999	1	fmri	images_fmri/paperclip/paperclip_01s.jpg	446	1	1117.0	15883.0	1.0	paperclip
39	1.0	0.44660411921964216	0.12547957730616027	31.708892464594594	shown	2.98	174.32999999999998	1	fmri	images_fmri/drill/drill_01b.jpg	219	1	521.0	7559.0	1.0	drill
40	52.0	0.5457729937873922	0.15471295749042355	7.095048919236099	shown	2.98	178.79999999999998	1	fmri	images_fmri/honeycomb/honeycomb_01b.jpg	317	1	790.0	11295.0	1.0	honeycomb
41	27.0	0.6997819358646109	0.1507316874140039	9.097165166239941	shown	2.98	183.26999999999998	1	fmri	images_fmri/scallion/scallion_01b.jpg	540	1	1373.0	19499.0	1.0	scallion
42	48.0	0.6167980383850422	0.16690287528372816	8.01837449900555	shown	2.98	187.73999999999998	1	fmri	images_fmri/fish/fish_01b.jpg	248	1	601.0	8684.0	1.0	fish
43	25.0	0.6077318538162283	0.14243487552145878	7.900514099610968	shown	2.98	192.20999999999998	1	fmri	images_fmri/bear/bear_01b.jpg	42	1	106.0	1591.0	1.0	bear
44	31.0	0.566115247965827	0.10726285067038493	7.359498223555751	shown	2.98	196.67999999999998	1	fmri	images_fmri/rocking_chair/rocking_chair_01b.jpg	529	1	1322.0	18808.0	1.0	rocking_chair
45	19.0	0.5056516177385566	0.13941184148464641	6.573471030601236	shown	2.98	201.14999999999998	1	fmri	images_fmri/thermometer/thermometer_01b.jpg	637	1	1647.0	23253.0	1.0	thermometer
46	46.0	0.5758994733839023	0.13789623044096633	7.48669315399073	shown	2.98	205.61999999999998	1	fmri	images_fmri/cufflink/cufflink_01b.jpg	191	1	459.0	6638.0	1.0	cufflink
47	44.0	0.6318898128471239	0.13105819936541474	8.21456756701261	shown	2.98	210.08999999999997	1	fmri	images_fmri/weasel/weasel_01b.jpg	700	1	1798.0	25325.0	1.0	weasel
48	2.0	0.4911460703755838	0.13648901885568682	6.384898914882589	shown	2.98	214.56	1	fmri	images_fmri/powder/powder_01b.jpg	494	1	1237.0	17590.0	1.0	powder
49	9.0	0.6351449187249016	0.15977335919467697	45.095289229468015	shown	2.98	219.03	1	fmri	images_fmri/strawberry/strawberry_01b.jpg	608	1	1571.0	22182.0	1.0	strawberry
50	22.0	0.5432089672959907	0.13879745033923668	7.061716574847878	shown	2.98	223.5	1	fmri	images_fmri/sundae/sundae_01b.jpg	613	1	1583.0	22348.0	1.0	sundae
51	14.0	0.4646714516266649	0.12763329943678953	6.040728871146643	shown	2.98	227.97	1	fmri	images_fmri/axe/axe_01b.jpg	22	1	46.0	633.0	1.0	axe
52	39.0	0.5547808823929065	0.1184567413503983	7.212151471107784	shown	2.98	232.44	1	fmri	images_fmri/trap/trap_01b.jpg	662	1	1703.0	24019.0	1.0	trap
53	26.0	0.3981418387213825	0.13818493804266288	5.175843903377972	shown	2.98	236.91	1	fmri	images_fmri/hip/hip_01b.jpg	315	1	781.0	11172.0	1.0	hip
54	10.0	0.48723883276064145	0.13705596287424474	6.334104825888339	shown	2.98	241.38	1	fmri	images_fmri/chin/chin_01b.jpg	142	1	331.0	4782.0	1.0	chin
