image_path,condition,image_nr,category_nr,exemplar_nr,test_image_nr,things_category_nr,things_image_nr,things_exemplar_nr
images_fmri/acorn/acorn_01b.jpg,exp,1,1,1,,4,43,1
images_fmri/acorn/acorn_02n.jpg,exp,2,1,2,,4,44,2
images_fmri/acorn/acorn_03s.jpg,exp,3,1,3,,4,45,3
images_fmri/acorn/acorn_04s.jpg,exp,4,1,4,,4,46,4
images_fmri/acorn/acorn_05s.jpg,exp,5,1,5,,4,47,5
images_fmri/acorn/acorn_06s.jpg,exp,6,1,6,,4,48,6
images_fmri/acorn/acorn_07s.jpg,exp,7,1,7,,4,49,7
images_fmri/acorn/acorn_08s.jpg,exp,8,1,8,,4,50,8
images_fmri/acorn/acorn_09s.jpg,exp,9,1,9,,4,51,9
images_fmri/acorn/acorn_10s.jpg,exp,10,1,10,,4,52,10
images_fmri/acorn/acorn_11s.jpg,exp,11,1,11,,4,53,11
images_fmri/acorn/acorn_12s.jpg,exp,12,1,12,,4,54,12
images_fmri/airbag/airbag_01b.jpg,exp,13,2,1,,8,98,1
images_fmri/airbag/airbag_02s.jpg,exp,14,2,2,,8,99,2
images_fmri/airbag/airbag_03s.jpg,exp,15,2,3,,8,100,3
images_fmri/airbag/airbag_04s.jpg,exp,16,2,4,,8,101,4
images_fmri/airbag/airbag_05s.jpg,exp,17,2,5,,8,102,5
images_fmri/airbag/airbag_06s.jpg,exp,18,2,6,,8,103,6
images_fmri/airbag/airbag_07s.jpg,exp,19,2,7,,8,104,7
images_fmri/airbag/airbag_08s.jpg,exp,20,2,8,,8,105,8
images_fmri/airbag/airbag_09s.jpg,exp,21,2,9,,8,106,9
images_fmri/airbag/airbag_10s.jpg,exp,22,2,10,,8,107,10
images_fmri/airbag/airbag_11s.jpg,exp,23,2,11,,8,108,11
images_fmri/airbag/airbag_12s.jpg,exp,24,2,12,,8,109,12
images_fmri/aircraft_carrier/aircraft_carrier_01b.jpg,exp,25,3,1,,10,127,1
images_fmri/aircraft_carrier/aircraft_carrier_02s.jpg,exp,26,3,2,,10,128,2
images_fmri/aircraft_carrier/aircraft_carrier_03s.jpg,exp,27,3,3,,10,129,3
images_fmri/aircraft_carrier/aircraft_carrier_04s.jpg,exp,28,3,4,,10,130,4
images_fmri/aircraft_carrier/aircraft_carrier_05s.jpg,exp,29,3,5,,10,131,5
images_fmri/aircraft_carrier/aircraft_carrier_06s.jpg,exp,30,3,6,,10,132,6
images_fmri/aircraft_carrier/aircraft_carrier_07s.jpg,exp,31,3,7,,10,133,7
images_fmri/aircraft_carrier/aircraft_carrier_08s.jpg,exp,32,3,8,,10,134,8
images_fmri/aircraft_carrier/aircraft_carrier_09s.jpg,exp,33,3,9,,10,135,9
images_fmri/aircraft_carrier/aircraft_carrier_10s.jpg,exp,34,3,10,,10,136,10
images_fmri/aircraft_carrier/aircraft_carrier_11s.jpg,exp,35,3,11,,10,137,11
images_fmri/aircraft_carrier/aircraft_carrier_12s.jpg,exp,36,3,12,,10,138,12
images_fmri/airplane/airplane_01b.jpg,exp,37,4,1,,11,150,1
images_fmri/airplane/airplane_02n.jpg,exp,38,4,2,,11,151,2
images_fmri/airplane/airplane_03n.jpg,exp,39,4,3,,11,152,3
images_fmri/airplane/airplane_04n.jpg,exp,40,4,4,,11,153,4
images_fmri/airplane/airplane_05n.jpg,exp,41,4,5,,11,154,5
images_fmri/airplane/airplane_06n.jpg,exp,42,4,6,,11,155,6
images_fmri/airplane/airplane_07n.jpg,exp,43,4,7,,11,156,7
images_fmri/airplane/airplane_08n.jpg,exp,44,4,8,,11,157,8
images_fmri/airplane/airplane_09n.jpg,exp,45,4,9,,11,158,9
